name,housing_type,identification_model,residence_type,district,supply_area,standard_unit,specific_unit,multi_child,newlywed_couple,first_time,youth,sup_elder,elder,institute_recommend,moved_institute,ect,support_amount,second_priority_deposit,application_deposit
신영지웰 푸르지오 테크노폴리스 센트럴 오피스텔,108OB,2023950039(02),오피스텔,,108.893,78,,,,,,,,,,,46600,,100
심곡본동 한울에이치밸리움 디그니어스 (8차),053.9910C,,,,,3,,,,,,,,,,,,,
에코시티 한양수자인 디에스틴 주상복합,084.9779A,2023000312(01),민영,,114.981,18,27,5,8,8,0,1,,5,0,0,45760,,
에코시티 한양수자인 디에스틴 주상복합,084.9834C,2023000312(03),민영,,115.193,18,27,5,8,8,0,1,,5,0,0,45620,,
에코시티 한양수자인 디에스틴 주상복합,084.9922B,2023000312(02),민영,,114.479,74,104,16,32,34,0,6,,16,0,0,45360,,
용산 호반써밋 에이디션,084.2287A,2023000324(01),민영,,120.973,11,9,2,3,2,0,0,,2,0,0,163120,,
용산 호반써밋 에이디션,084.2753B,2023000324(02),민영,,121.016,11,9,2,4,1,0,0,,2,0,0,163390,,
용산 호반써밋 에이디션,105.6071B,2023000324(04),민영,,153.369,18,4,3,0,0,0,1,,0,0,0,207070,,
용산 호반써밋 에이디션,105.7501A,2023000324(03),민영,,151.386,15,3,2,0,0,0,1,,0,0,0,204280,,
용산 호반써밋 에이디션,122.8014,2023000324(05),민영,,175.35,10,0,0,0,0,0,0,,0,0,0,252990,,
용산 호반써밋 에이디션(오피스텔),34A,2023950038(01),오피스텔,1,34.9664,7,,,,,,,,,,,75400,,500
용산 호반써밋 에이디션(오피스텔),34B,2023950038(02),오피스텔,1,34.9812,7,,,,,,,,,,,75280,,500
용산 호반써밋 에이디션(오피스텔),42A,2023950038(03),오피스텔,2,42.4853,4,,,,,,,,,,,92370,,500
용산 호반써밋 에이디션(오피스텔),42B,2023950038(04),오피스텔,2,42.6461,7,,,,,,,,,,,90850,,500
용산 호반써밋 에이디션(오피스텔),42C,2023950038(05),오피스텔,2,42.9964,6,,,,,,,,,,,90850,,500
용산 호반써밋 에이디션(오피스텔),43,2023950038(06),오피스텔,2,43.9132,1,,,,,,,,,,,91730,,500
용산 호반써밋 에이디션(오피스텔),63,2023950038(07),오피스텔,3,63.3023,7,,,,,,,,,,,135120,,500
용산 호반써밋 에이디션(오피스텔),65,2023950038(08),오피스텔,3,65.7764,4,,,,,,,,,,,139850,,500
용산 호반써밋 에이디션(오피스텔),66,2023950038(09),오피스텔,3,66.13,6,,,,,,,,,,,137360,,500
월명공원 한라비발디 온더파크,076.7400A,2023000267(01),민영,,103.15,76,174,25,45,22,0,7,,25,50,0,37050,,
월명공원 한라비발디 온더파크,076.8000B,2023000267(02),민영,,103.38,20,34,5,9,4,0,1,,5,10,0,36680,,
월명공원 한라비발디 온더파크,084.8100A,2023000267(03),민영,,113.39,145,331,47,85,43,0,14,,47,95,0,40690,,
월명공원 한라비발디 온더파크,084.9700B,2023000267(04),민영,,113.87,27,50,7,13,6,0,2,,7,15,0,40280,,
월명공원 한라비발디 온더파크,122.8700A,2023000267(05),민영,,167.48,2,0,0,0,0,0,0,,0,0,0,62500,,
월명공원 한라비발디 온더파크,122.9500B,2023000267(06),민영,,165.72,3,0,0,0,0,0,0,,0,0,0,63990,,
월명공원 한라비발디 온더파크,134.3000B,2023000267(08),민영,,180.35,8,1,0,0,0,0,0,,0,1,0,69390,,
월명공원 한라비발디 온더파크,134.5400A,2023000267(07),민영,,181.71,3,0,0,0,0,0,0,,0,0,0,68700,,
유보라 신천매곡,064.8362,2023000291(01),민영,,86.5821,5,11,3,3,2,0,1,,2,0,0,43300,,
유보라 신천매곡,084.4632C,2023000291(04),민영,,111.746,15,23,6,7,4,0,2,,4,0,0,56100,,
유보라 신천매곡,084.9665B,2023000291(03),민영,,113.438,37,50,14,16,8,0,3,,9,0,0,56400,,
유보라 신천매곡,084.9979A,2023000291(02),민영,,112.874,40,54,15,17,9,0,3,,10,0,0,56500,,
유보라 신천매곡,117.6809,2023000291(05),민영,,154.921,95,22,18,0,0,0,4,,0,0,0,75900,,
이안 센트럴포레 장유 1단지,059.9365C,2023000309(03),민영,,78.8566,3,3,1,1,0,0,0,,1,0,0,32592,,
이안 센트럴포레 장유 1단지,059.9616B,2023000309(02),민영,,79.1877,4,5,1,2,1,0,0,,1,0,0,32592,,
이안 센트럴포레 장유 1단지,059.9814A,2023000309(01),민영,,80.1746,9,6,1,2,1,0,1,,1,0,0,32592,,
이안 센트럴포레 장유 1단지,084.9638,2023000309(04),민영,,110.231,10,5,1,2,1,0,0,,1,0,0,45155,,
이안 센트럴포레 장유 2단지,059.9365C,2023000310(03),민영,,79.4025,2,1,0,1,0,0,0,,0,0,0,32592,,
이안 센트럴포레 장유 2단지,059.9616B,2023000310(02),민영,,79.7338,3,4,1,1,1,0,0,,1,0,0,32592,,
이안 센트럴포레 장유 2단지,059.9814A,2023000310(01),민영,,80.7209,4,6,1,2,1,0,1,,1,0,0,32592,,
이안 센트럴포레 장유 2단지,084.9638,2023000310(04),민영,,111.005,9,5,1,2,1,0,0,,1,0,0,45155,,
이안 시그니처 역곡(임의공급),050.6900,,,,,3,,,,,,,,,,,,,
이안 시그니처 역곡(임의공급),060.7600,,,,,4,,,,,,,,,,,,,
이안 시그니처 역곡(임의공급),063.2100,,,,,3,,,,,,,,,,,,,
이안 시그니처 역곡(임의공급),065.9800,,,,,6,,,,,,,,,,,,,
이안 시그니처 역곡(임의공급),070.4900,,,,,3,,,,,,,,,,,,,
이천중리B2-BL 우미린 트리쉐이드,084.5367C,2023000307(03),민영,,112.011,55,76,13,23,24,0,3,,13,0,0,46480,,
이천중리B2-BL 우미린 트리쉐이드,084.6356A,2023000307(01),민영,,111.532,219,324,54,97,103,0,16,,54,0,0,47960,,
이천중리B2-BL 우미린 트리쉐이드,084.6374B,2023000307(02),민영,,111.279,72,103,17,31,33,0,5,,17,0,0,47840,,
인천 연희공원 호반써밋 파크에디션,084.2210C,2023000258(03),민영,,111.24,136,132,26,48,24,0,8,,26,0,0,62970,,
인천 연희공원 호반써밋 파크에디션,084.7616A,2023000258(01),민영,,112.378,306,301,60,109,54,0,18,,60,0,0,63940,,
인천 연희공원 호반써밋 파크에디션,084.7616B,2023000258(02),민영,,112.378,28,24,5,9,4,0,1,,5,0,0,63940,,
인천 연희공원 호반써밋 파크에디션,099.0656,2023000258(04),민영,,130.323,386,57,44,0,0,0,13,,0,0,0,73750,,
